title,subject,date,short_text,type,prompt,generated_text
SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation,Government News,"Apr 17, 2016", I don t really know about that    Nice try Hillary!,Fake,"fake headline: SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation
text:","The bill only “strengthens gun laws.” Share this: Related 16 Responses to “IGNORANT PEDAL” And what exactly is ignorance of legislation? It could be ignorance of its details, but not of its overall intent. You don’t think people, especially politicians,"
WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!,politics,"Aug 12, 2016",The Death Tax is the hard earned money you have to pass on to the government when you die. Wouldn t you rather your children receive that money instead of the feds?,Fake,"fake headline: WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!
text:","“IF IT TAKES PEOPLE VS ZOMBIES” For some reason I can’t stop watching this video! It’s hard not to find in her veins, like a virus. A horrible virus! A sinister, satanic, cunning and evil virus. A virus that is both contagious and grows at an exponentially rapid"
BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions,politics,"Jan 10, 2017","Watch Ted Cruz completely annihilate the Leftist false attacks on Jeff Sessions  character! # confirmationhearing pic.twitter.com/tBaz5rdRoI  John Binder   (@JxhnBinder) January 10, 2017",Fake,"fake headline: BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions
text:","Senator Jeff Sessions once again proved last week that he is devoted to the protection of law-abiding citizens — and THE FOUNDATION OF OUR DEMOCRACY — from criminals. Speaker at the National Press Club last week blasted the Democrats, their allies in the far-left media, and racing-to-the-merry"
WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?,politics,"Aug 4, 2016",Loretta Lynch is head of the DOJ and is opening for Deray McKesson of Black Lives Matter tomorrow in Detroit. Is this an endorsement of the radical domestic terrorist organization that calls for looting and violence in the name of social justice?,Fake,"fake headline: WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?
text:","Historically, Lysander Spooner's, socialistic, utilitarian philosophy and philosophy of liberty was influential among the early 19th century radicals. ""On January 4th and 5th, Stockholm hosted a gathering of over 600 people from 22 different countries where Lisa Blackburn shared her research on the subject of slavery. Lisa Blackburn had come to Stockholm to present the findings"
SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?,Middle-east,"March 12, 2016", 21st Century Wire asks HAVE YOUR SHOUT: Friday night in Chicago saw an unprecedented incident   where flash mobs from an opposing political party were successful in shutting down a presidential political rally. We ask our readers if protesters should be allowed to shut down political rallies.,Fake,"fake headline: SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?
text:","Shouting is not a crime A group of protestors have recently been banned from disrupting rallies being held by Ukip leader Nigel Farage; they claim that the actions of these political campaigners is just an example of how the law being used to undermine free speech. Title text: The Liberal Democrats could not take the seat of Peterborough, in spite of the fact that on"
Palestinian negotiator says 'no talking' with U.S. until Trump reverses Jerusalem decision: Al Jazeera,worldnews,"December 8, 2017 ","Palestinian chief negotiator Saeb Erekat told Al Jazeera TV on Friday that the Palestinians will not talk to the United States until President Donald Trump has reversed his decision to recognize Jerusalem as Israel s capital, the channel reported. Erekat also said the Palestinian leadership was considering all options in response to Trump s announcement, the channel reported in a newsflash, without giving further details.",True,"true headline: Palestinian negotiator says 'no talking' with U.S. until Trump reverses Jerusalem decision: Al Jazeera
text:","""Ron Prosor, Palestinian negotiator, says: 'There can be no talking with the United States' until Trump reverses his decision on Jerusalem,"" Al Jazeera says. Al Jazeera adds that Prosor has ""rejected a U.S. appeal to resume negotiations on borders and security as a precondition to start the process towards a peace agreement with Israel."" The channel"
UK defense minister: PM May decides on cabinet hiring and firing,worldnews,"November 8, 2017 ","British defense minister Gavin Williamson said on Wednesday it was up to Prime Minister Theresa May to decide who serves in her top team, responding to a question about the political future of aid minister Priti Patel.  The prime minister makes her own decision on actually who is serving in her cabinet, and they re only the prime minister s decisions,  he told reporters in Brussels.",True,"true headline: UK defense minister: PM May decides on cabinet hiring and firing
text:","UK defense minister Penny Mordaunt said that PM May decided on the Cabinet post filling and dismissal, and said that sustainability was an important point in the nomination process. sentence: Mr. Penny Mordaunt said that the government wanted to make a good job for the nomination process. In text: Labour MP - Penny Mordaunt said the government wanted to make"
NSA director Rogers is top candidate for DNI under Trump: WSJ,politicsNews,"November 18, 2016 ","U.S. National Security Agency Director Admiral Mike Rogers is the leading candidate to become President-elect Donald Trump’s next director of national intelligence, the Wall Street Journal reported on Friday, citing two unnamed people familiar with the matter. Rogers met with Trump in New York on Thursday, members of Trump’s transition team said on Friday.",True,"true headline: NSA director Rogers is top candidate for DNI under Trump: WSJ
text:","Rogers has interviewed for the job, sources say; he was recently seen at Trump Tower in... OK - so some of the information in this link is not present in the Government Accountability Office report - but that was my personal view - since the Goverment Accountability Office report authorizes the GAO to do what it did! Now - if you look at the"
"Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide",politicsNews,"November 21, 2017 ","Russian President Vladimir Putin and U.S. President Donald Trump will discuss North Korea when they hold a telephone conversation on Tuesday, Interfax news agency cited Kremlin aide Yuri Ushakov as saying. Kremlin spokesman Dmitry Peskov said earlier on Tuesday that the conversation would focus on Syrian President Bashar al-Assad’s visit to Russia which he made on Monday.",True,"true headline: Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide
text:","At a news conference in Seoul, Foreign Minister Ri Su-han and U.S. Secretary of State Rex Tillerson underscored the difficult issues they face in the upcoming meeting between their two countries’ leaders on Tuesday on the Korean Peninsula. Erdogan: Turkish leadership is cool to any dealings with the U.S. and Russian leaders, citing traits in both Putin and Trump."
Russian and Chinese heads of state to meet in first half of November,worldnews,"October 26, 2017 ","Russian President Vladimir Putin on Thursday held a telephone conversation with his Chinese counterpart Xi Jinping, and the two leaders agreed to meet in the first half of November, the Kremlin said. The meeting will take place on the sidelines of an Asia-Pacific summit to be hosted by Vietnam, it said.",True,"true headline: Russian and Chinese heads of state to meet in first half of November
text:","""President Vladimir Putin visited China last week, during which the Russian and Chinese presidents held informal talks as well as discussed the situation in Syria. In the wake of the meeting, the Putin-Xi talks are being called a ""game changer"" that may help ""restore confidence."" However, the West thinks that Russia's declaration that it may use military action in Syria"
Florida lieutenant governor ends bid for Senate seat,politicsNews,"June 22, 2016 ","Florida’s Republican lieutenant governor, Carlos Lopez-Cantera, on Wednesday dropped his bid for a U.S. Senate seat shortly after Senator Marco Rubio said he would be entering the race. “ I want to congratulate and thank Marco for his decision to pursue re-election to the U.S. Senate,” Lopez-Cantera, a friend of Rubio’s, said in a statement.",True,"true headline: Florida lieutenant governor ends bid for Senate seat
text:","Sen. Bill Nelson, D-Fla., said he will seek another six-year term in 2014. image: one-paragraph story: Florida lieutenant governor ends bid for Senate seat text: Florida Lt. Gov. Jennifer Bennett withdrew"
Cruz campaign vetting Fiorina as a possible VP pick: ABC News,politicsNews,"April 25, 2016 ","U.S. Republican presidential candidate Ted Cruz’s campaign is vetting former business executive Carly Fiorina as a possible vice presidential pick, ABC News said on Friday. Earlier, Cruz’s campaign said it had narrowed its running mate options to a short list.",True,"true headline: Cruz campaign vetting Fiorina as a possible VP pick: ABC News
text:","The Texas senator unveiled a new series this week of interviews and fact-checks on national security, the economy, education and other major issues. One of the candidates on the hit list: Businesswoman Carly Fiorina... Politico Obama calls for new gun controls to prevent more Sandy's headline: Obama calls for new gun controls to prevent more Sandy's"
Trump to announce transportation secretary pick: spokesman,politicsNews,"November 29, 2016 ","President-elect Donald Trump will nominate a transportation secretary on Tuesday afternoon, a spokesman told Fox News, as he continues to fill out his domestic policy team. Trump transition team spokesman Jason Miller said the Cabinet selection would be announced in the early afternoon.",True,"true headline: Trump to announce transportation secretary pick: spokesman
text:",White House statement late Friday said Trump intends to preview his nominee in public while speaking to the assembled media on Saturday. reuters.com White House statement late Friday said Trump intends to preview his nominee in public while speaking to the assembled media on Saturday. fax phone Homepage or Web site of:
U.S. says it will take steps after Cambodia's dissolves opposition party,worldnews,"November 17, 2017 ","The United States expressed  grave concern  on Thursday about the Cambodian government s decision to dissolve the main opposition party and said Washington will take  concrete steps  in response, according to a White House statement. As a first step, the White House said, the United States will end its support for the Cambodian National Election Committee and its administration of the 2018 national election.",True,"true headline: U.S. says it will take steps after Cambodia's dissolves opposition party
text:","""The U.S. said that it was preparing a list of those responsible for the 'transgressions' and possible sanctions as a warning to the Cambodian government to respect democratic freedoms, including the dissolution."" Headline: Cambodia's historic election setback for opposition text: ""Cambodia's economic and political woes are back, the"
Senate Republican leader says on path toward deal on government funding,politicsNews,"October 31, 2017 ","Senate Republican leader Mitch McConnell said on Tuesday lawmakers and the Trump administration were “on a path” toward reaching a deal on a bill that would keep the government funded beyond Dec. 8. “ That job will have to be done by December the eighth, and I think we’re on a path to do that,” McConnell told reporters, without providing any details.",True,"true headline: Senate Republican leader says on path toward deal on government funding
text:","'Senate GOP leader: on path to deal' (Lousiana Times-Picayune) ""Senate Republicans on Sunday they are on the path to a deal to fund the federal government and avoid a looming default and raise the recession-era debt ceiling. ""The House"
Trump to study tougher Russia sanctions bill: White House,politicsNews,"July 24, 2017 ","President Donald Trump will examine whether a bill toughening sanctions on Russia is offering the “best deal” for the American people, White House spokeswoman Sarah Sanders said on Monday. “ He’s going to study that legislation and see what the final product looks like,” Sanders told reporters during a briefing on Air Force One, when asked whether Trump would support the legislation.",True,"true headline: Trump to study tougher Russia sanctions bill: White House
text:","Trump will sign a Russia sanctions bill that also includes long-desired measures like a Magnitsky Act, the administration’s top national security official told reporters on Friday. The new sanctions bill, the second round of sanctions after Russia was hit with its earlier sanctions in August, reportedly adopted by the Senate on Thursday, is focused on Russia’s hacking"
U.S. 'very concerned' by violence around Iraq's Kirkuk: State Department,worldnews,"October 16, 2017 ","The U.S. State Department said on Monday Washington was  very concerned  by reports of violence around the Iraqi oil city of Kirkuk, which was seized by Baghdad s forces from Kurds.  We are monitoring the situation closely and call on all parties to coordinate military activities and restore calm,   State Department spokeswoman Heather Nauert said in a statement.",True,"true headline: U.S. 'very concerned' by violence around Iraq's Kirkuk: State Department
text:","Foreign... intervention could help prevent ethnic cleansing and genocide by Kurdish... No Eleven Questions, Just Two Big Ones. Two Questions on Syria that Really Matter. Think... 8/11/2013 01:23' Idiot: I'm on a lot of European Airlines, and I've never been asked to show... 9/25/2012 10:"
Trump discusses safe zones in Syria with Jordan's king: White House,politicsNews,"February 2, 2017 ","U.S. President Donald Trump discussed with Jordan’s King Abdullah the possibility of establishing safe zones in Syria, the White House said on Thursday. Trump met with King Abdullah briefly in Washington on Thursday morning, the White House said in a statement.",True,"true headline: Trump discusses safe zones in Syria with Jordan's king: White House
text:",Trump addresses Europeans at UN General Assembly Before U.N. summit with China . Trump said the U.S. and Jordan are “working on very preliminary plans” for what he called safe zones in Syria. Fox's Jones led into a segment by The Daily Caller's Wilchins (April 24
Trump says 'not distracted' by NFL protests,politicsNews,"September 26, 2017 ","U.S. President Donald Trump’s criticisms of National Football League players kneeling in protest during the national anthem have not distracted him from other concerns, he told journalists on Tuesday. “ I wasn’t preoccupied with the NFL.",True,"true headline: Trump says 'not distracted' by NFL protests
text:",Donald Trump tweeted his support for the NFL demonstrations. headline: Trump insists he's 'not distracted' by NFL protests text: President Donald Trump says he 'will never be' distracted by NFL players' demonstrations during the national anthem. headline: Trump: NFL-start protests must 'stop' text: President Donald Trump says something of his mind on
Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis,worldnews,"October 22, 2017 ","Saudi Arabia is not yet ready to begin direct talks with Doha to resolve the nearly five-month diplomatic and trade cutoff affecting Qatar, U.S. Secretary of State Rex Tillerson said on Sunday.  There is not a strong indication that the parties are ready to talk yet,  Tillerson said of discussions he had earlier in the day in Riyadh with Saudi Crown Prince Mohammed bin Salman aimed at overcoming the row.",True,"true headline: Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis
text:","Secretary of State Rex Tillerson said Saudi Arabia has not shown it is ready to engage with Qatar over the crisis threatening the Gulf, and said that if relations improve, the United States would be interested in re-opening a dialogue on the issue. ""You cannot cut off the legs of a tiger to see if he is hungry and that's what we have been doing,"" Tillerson said"
