row_id,type,title,date,text,text_type
10,Fake,"JUDGE JEANINE Delivers EPIC Hillary Slap Down: “I don’t consider myself ‘DEPLORABLE’…but since you started it Hillary, let’s have at it”","Sep 11, 2016",YIKES That s gonna leave a mark!,short_text
11,Fake,DANIEL HANNAN Tells “The Generation Of The Safe Spaces” To Get Over Themselves,"Nov 15, 2016","  This is a summary of some of the general points that I made to that forum.  One of the reviewers of my “Man Of Mediocrity” blogpost on Youtube said that he’d like to see more personal things, that he’d like to see me go away from the subject of politics. That question is one",generated_text
12,Fake,OBAMA DANCES At Last-Ever White House Gig To Drake’s “Hotline Bling”,"Oct 23, 2016", ,short_text
13,Fake,GUESS WHO Predicted Weiner Would “Tell The World” About Hillary’s Crimes?,"Oct 28, 2016", ,short_text
14,Fake,JUDGE JEANINE’S OPENING STATEMENT: “Our President Is Doing What We Hired Him To Do!”,"Apr 1, 2017"," It’s now on our Landlord to do this.  Even if every vehicle was a hovercraft/aircraft/land-liner, we would need at least a western style dog catcher to clear the roadways!  I walk Melbourne streets thrice a week, and within a 2-hour period, I have seen exactly four vehicles that do not",generated_text
15,Fake,NOT-SO-SLICK WILLY: Bill Clinton Tries To Joke Around About Hillary’s E-mail Scandal…Not Funny,"Sep 14, 2016", ,short_text
16,Fake,ARMED WOMAN Takes Out One Of Three Burglars In A Crazy Home Invasion,"Sep 23, 2016",  It took an armed home invasion to end an armed robbery and a kidnapping.  The woman calmly confronted the home invaders after she got home at 3 a.m. Saturday morning and discovered one would-be thief already be dead and the other inside her garage.  Police said the home invasion took place in the 3500 block of Barrett Lane in the City,generated_text
17,Fake,THE HORRIBLE END GAME: BERNIE SANDERS Calls for Socialized Medicine aka Single-Payer Healthcare,"Mar 26, 2017", ,short_text
18,Fake,EPIC! CSPAN CALLER Gets His Benghazi Message Out To Hillary…This Is Priceless!,"Aug 8, 2016",If you ve ever watched CSPAN you ll know how rare it is to get a caller who s like this guy this is priceless!,short_text
19,Fake,AWESOME: TRUMP TWEETS THE TWO RULES That Will Guide The Trump Administration,"Dec 30, 2016"," ""The first question on any crisis is, what was done before? The second question is, what would a successful strategy look like?  Then there is the strategy itself, which should be: Get all the facts, understand them, and make your decisions based on those facts, and to this end, there are two simple rules:  1) Immediately begin following",generated_text
20,True,New York's political leaders reach deal on 2016-17 state budget,"April 1, 2016 ","New York state’s governor Andrew Cuomo and legislative leaders announced late on Thursday an agreement on a 2016-17 state budget that includes a plan to increase minimum wage toward $15  per hour and introduce paid family leave. “ I believe that this is the best plan the state has produced in decades,” Cuomo told a news conference in state capital Albany late on Thursday",short_text
21,True,UK defense minister: PM May decides on cabinet hiring and firing,"November 8, 2017 ","British defense minister Gavin Williamson said on Wednesday it was up to Prime Minister Theresa May to decide who serves in her top team, responding to a question about the political future of aid minister Priti Patel.  The prime minister makes her own decision on actually who is serving in her cabinet, and they re only the prime minister s decisions,  he told reporters in Brussels.",short_text
22,True,NSA director Rogers is top candidate for DNI under Trump: WSJ,"November 18, 2016 "," “NSA Director Mike Rogers is a top contender to become the next Director of National Intelligence, sources have told The Wall Street Journal, but the man with the rank of four-star general hasn’t made himself officially available for the job.”  The NSA is likely to have a smaller budget than under the Obama administration. DoD officials say that this",generated_text
23,True,"Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide","November 21, 2017 ","Russian President Vladimir Putin and U.S. President Donald Trump will discuss North Korea when they hold a telephone conversation on Tuesday, Interfax news agency cited Kremlin aide Yuri Ushakov as saying. Kremlin spokesman Dmitry Peskov said earlier on Tuesday that the conversation would focus on Syrian President Bashar al-Assad’s visit to Russia which he made on Monday.",short_text
24,True,Russian and Chinese heads of state to meet in first half of November,"October 26, 2017 ","Russian President Vladimir Putin on Thursday held a telephone conversation with his Chinese counterpart Xi Jinping, and the two leaders agreed to meet in the first half of November, the Kremlin said. The meeting will take place on the sidelines of an Asia-Pacific summit to be hosted by Vietnam, it said.",short_text
25,True,House Democrats will stage sit-in until they get gun control bill: Pelosi,"June 22, 2016 ","U.S. House of Representatives Democratic leader Nancy Pelosi said on Wednesday a sit-in on the House floor by Democrats will continue until a gun control bill is brought to the floor of the chamber for debate. “ We are in for the long haul here,” Pelosi said.",short_text
26,True,London security alert ends as package ruled non-suspicious,"December 5, 2017 ","London police said an item that had prompted a security alert in the financial district of the city on Tuesday morning was non-suspicious, after authorities had closed St Paul s underground station as a precaution.",short_text
27,True,Trump to announce transportation secretary pick: spokesman,"November 29, 2016 "," ""Pence looks on as Trump speaks at a law enforcement conference in … Ford Area.""  source: Business Insider headline: Trump to announce planned military battle with drug cartels: Sessions text: ""White House sources said Trump looks forward to announcing unilateral action against drug cartels ""  source: NBC News headline: Trump to talk trade at White",generated_text
28,True,U.S. says it will take steps after Cambodia's dissolves opposition party,"November 17, 2017 ","The United States expressed  grave concern  on Thursday about the Cambodian government s decision to dissolve the main opposition party and said Washington will take  concrete steps  in response, according to a White House statement. As a first step, the White House said, the United States will end its support for the Cambodian National Election Committee and its administration of the 2018 national election.",short_text
29,True,Senate Republican leader says on path toward deal on government funding,"October 31, 2017 ","Senate Republican leader Mitch McConnell said on Tuesday lawmakers and the Trump administration were “on a path” toward reaching a deal on a bill that would keep the government funded beyond Dec. 8. “ That job will have to be done by December the eighth, and I think we’re on a path to do that,” McConnell told reporters, without providing any details.",short_text
30,True,Trump to study tougher Russia sanctions bill: White House,"July 24, 2017 "," Earlier this week, Trump was expected to non-sign the draft bill passed by Congress on July 20, 2017. Instead, he renounced it saying: ""The president doesn't sign bad legislation.""  INN:  Trump to study tougher Russia sanctions bill: White House  - President Donald Trump has decided to sign the bill that would impose new sanctions on",generated_text
31,True,Ex-Catalonia leader turns himself in to Belgian police: VRT,"November 5, 2017 ","Sacked Catalonian leader Carles Puigdemont has turned himself in to Belgian police, Belgian public broadcaster VRT said on Sunday, citing a source. Belgian prosecutors, who have a European arrest warrant from Spain for Puigdemont and four of his associates, will brief media on the case at 1300 GMT.",short_text
32,True,Trump discusses safe zones in Syria with Jordan's king: White House,"February 2, 2017 "," ""President Donald Trump spoke with King Abdullah II of Jordan this week during his first official visit to the Middle East.""  behind the headline: Anxiety grows for the republicans' healthcare reform: Washington Post text: ""As conservatives try to sell the public on their plan to repeal and replace the Affordable Care Act, there is growing anxiety among Republicans about the prospects of losing",generated_text
33,True,Trump says 'not distracted' by NFL protests,"September 26, 2017 "," ""President Donald Trump said on Sunday that he was surprised that football fans were so passionate about the national anthem, suggesting that he himself would not show such passion if he had an option. 'I guess I'm not a real big football fan,' Trump said in a Fox News interview. 'And I've always had a lot of respect for what you've all been doing,",generated_text
34,True,Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis,"October 22, 2017 "," Secretary of state Rex Tillerson said Saudi Arabia was not ready for talks on the ​Doha-based ​Qatar crisis. he pointed to Qatar’s hostility toward Iran and for the Muslim Brotherhood, which Riyadh sees as a terrorist organisation. He also said the Gulf consortium, including Saudi Arabia, were ​on the brink of war in the dispute. byline:",generated_text
35,True,U.S. tax bill should include repeal of health insurance mandate: Senate Republican leader,"November 14, 2017 ","<p>US Senate Republicans wrapped up debate on President Donald Trump&#8217;s tax bill, an October bill that would cut taxes for corporations and wealthy individuals but eliminate a mandate to have insurance purchased by employees.<br /> &#8220;I&#8217;m going to continue to ask that the Senate not vote on the American Health Care",generated_text
36,True,Tillerson to visit Pakistan as well as India: senior U.S. official,"October 18, 2017 "," ""The Secretary of State will travel to Islamabad, Islamabad, and New Delhi to discuss cooperation in the war against ISIS, and will also call on leaders in Pakistan and India to engage in dialogue and find a way to bring an end to the Pakistan-India conflict,"" said State Department spokesman Mark Toner.  Mixed messages on ISIS threat? App",generated_text
37,True,"Obama, Mexican president discuss immigration, anti-drugs fight: White House","May 6, 2016 "," President Obama met with Mexican President Felipe Calderon as part of their exchange of prime ministers. Obama’s first official trip abroad as president included a stop at a camp for children and young immigrants. He urged them to learn about the country’s political system and find a job.  The public can't dismiss Obama, and the",generated_text
38,True,Britain's Hammond says 'very confident' of deal on Brexit talks,"December 5, 2017 ","Britain s Chancellor of the Exchequer Philip Hammond said on Tuesday he was confident the EU and Britain could reach a Brexit deal in talks this week.  We re very confident that we will be able to move this forward,  Hammond said on arrival at a meeting of EU finance ministers.",short_text
39,True,UK PM May: We must fight for the political mainstream,"October 4, 2017 "," According to Theresa May, ""the most important thing as we leave the European Union is that we get the right deal for the people of this country,"" she said. ""That means the establishment of a common rulebook that works for everyone, a single, bespoke deal for Britain rather than a generic, off-the-shelf product."" [PG] ",generated_text
