title,subject,date,short_text,type,prompt,generated_text
SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation,Government News,"Apr 17, 2016", I don t really know about that    Nice try Hillary!,Fake,"fake headline: SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation
text:"," more
10:55 I saw a photo. Syria is ‘We’re at war.’ The president There.



President Barack Obama suburbanite calls on Supreme Court justices to “chuck” Obama, but none of them “show them a chip, because they don’t care.”


EGRICH"
WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!,politics,"Aug 12, 2016",The Death Tax is the hard earned money you have to pass on to the government when you die. Wouldn t you rather your children receive that money instead of the feds?,Fake,"fake headline: WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!
text:"," To remain independent, Hepburn posted an image of the Republican congressman’s face, which you may like to see. Click here to become a famous Gettyent on these and future Liberalism.
text: This time, though, The Hill needs our help. All will be told.
text: In the interest of maintaining our democratic power, we’ll"
BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions,politics,"Jan 10, 2017","Watch Ted Cruz completely annihilate the Leftist false attacks on Jeff Sessions  character! # confirmationhearing pic.twitter.com/tBaz5rdRoI  John Binder   (@JxhnBinder) January 10, 2017",Fake,"fake headline: BRAVO! WATCH TED CRUZ SLAM The Lies Of Leftists Attacking Senator Jeff Sessions
text:"," According to The New York Times, President Trump visited the political
discussions with a Ukrainian-backed presidential candidate last week.

Official Twitter accounts for both candidates have quacked over allegations from
he said that they spoke with a member of Trump campaign communications staff
about the event.

Women have tweeted that Trump said he was the one to hit ""a big"
WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?,politics,"Aug 4, 2016",Loretta Lynch is head of the DOJ and is opening for Deray McKesson of Black Lives Matter tomorrow in Detroit. Is this an endorsement of the radical domestic terrorist organization that calls for looting and violence in the name of social justice?,Fake,"fake headline: WHY IS LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement?
text:"," It’s just that: the authors of these articles, if they ever should be read, are explicit on the fires at which they were promoted. The white supremacist organizations that promote ignorance are the most blatant examples. Why is LORETTA LYNCH OPENING For One Of The Biggest Black Lives Matter Leaders? Is This an Endorsement? Author:"
SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?,Middle-east,"March 12, 2016", 21st Century Wire asks HAVE YOUR SHOUT: Friday night in Chicago saw an unprecedented incident   where flash mobs from an opposing political party were successful in shutting down a presidential political rally. We ask our readers if protesters should be allowed to shut down political rallies.,Fake,"fake headline: SHOUT! POLL: Should Protesters Be Allowed to Shut Down Political Rallies?
text:"," SHOUT! POLL: If so, you can find more information at https://www.tapes.com/tv/hive_eh.pdf.

http://www.tapes.com/tv/hive_amr.html<|endoftext|>"
CROOKED HILLARY VS FBI’S COMEY,politics,"Jul 6, 2016",This Supercut of Hillary vs Comey gets to the heart of why she should be indicted!,Fake,"fake headline: CROOKED HILLARY VS FBI’S COMEY
text:"," http://www.nydailynews.com/news/topics/1163433/CROOKED-HILLARY-2
(CNN affiliate The Des Moines Register).

ABC News, “Hillsborough: Four years in a Fox is all it takes,” and “New York: Washington’s largest town, little more"
CLUELESS ANTI-TRUMP PROTESTERS Asked Why They Oppose Trump,left-news,"Apr 17, 2016","Is anyone else getting sick and tired of hearing all of the baseless lies being told about Trump? There is zero evidence that Trump is a  racist,  yet the Left continues to spew that horrible label every chance they get.",Fake,"fake headline: CLUELESS ANTI-TRUMP PROTESTERS Asked Why They Oppose Trump
text:"," “I think that our president shouldn’t fight people who say that he shouldn’t fight us, he should fight those people.” A #Trump tweet from series number one: “They’re bots, they shouldn’t exist. They’re evil. Where’s their fighting?!”

CLU"
DINESH D’SOUZA BRILLIANTLY Schools Hollywood Reporter On Why Racist Democrats Keep Minorities On The Plantation,left-news,"Jul 28, 2016","If you haven t seen Dinesh D Souza s  HILLARY S AMERICA  yet, it is a MUST see! Watch here, as Dinesh explains why his historically correct movie casts the truth on the Democrats racist roots, discusses his time in prison and much more  THE SOUND STARTS AT THE 1:00 MARK WHEN D SOUZA BEGINS TO SPEAK:",Fake,"fake headline: DINESH D’SOUZA BRILLIANTLY Schools Hollywood Reporter On Why Racist Democrats Keep Minorities On The Plantation
text:"," The column appears across the board. Follow @D’SOUZABRILLIANTLY on Twitter! Complain!

New Harry Potter: DINESH BRILLIANTLY Schools As The Next Marvel Family

Follow @HarryPotter<|endoftext|>"
A Must Watch Video! Brilliant Take On How Hillary Clinton’s Lawlessness Gets Ignored,politics,"Oct 25, 2015","Hillary Clinton breaks the law, gets people who work for her killed, lies to the American people and she s still a media darling? How is that possible???",Fake,"fake headline: A Must Watch Video! Brilliant Take On How Hillary Clinton’s Lawlessness Gets Ignored
text:"," The daily news story on the Democratic presidential debate, in its earliest stages of its engagement, is designed to counter the bias that has surrounded the publically-held anti-Clinton media, as well as the media’s alleged collusion with the senator, Sen. Cruz. With much of the focus left to the left, the news coverage has been dominated by an almost-"
BUSTED! CLINTON ADVISOR JOHN PODESTA Paid BIG Money By Russia,Government News,"Apr 1, 2017","Russia gave John Podesta 35 millions dollars (1 billion rubles) while he advised Hillary Clinton and Barack Obama. pic.twitter.com/cf042XZLeU  Based Vet   (@BasedVet) March 28, 2017",Fake,"fake headline: BUSTED! CLINTON ADVISOR JOHN PODESTA Paid BIG Money By Russia
text:"," AP media
message: A link to the headline is waiting from the first paragraph of the headline
text: ""A Russian job seeker says that U.S. workers may have changed his jobs
employment in Russia, a new report suggests.""
text: ""A Russian economy has low disposable income, says in its latest new report.""
text: ""But industrialists"
GOV SARAH PALIN’S INTERVIEW WITH DONALD TRUMP,politics,"Aug 28, 2015",Sarah Palin interviewed The Donald tonight on One America News Network. Here s the full video:,Fake,"fake headline: GOV SARAH PALIN’S INTERVIEW WITH DONALD TRUMP
text:"," “GOV SARAH PALIN is very tired of the guy who never talked about abortion. Let’s start with the abortion issues first.”•Ruthie: We’re out of space by now. We offload the info into Google. Oh, yeah, we gotta get the information. So people who are pro-life a lot"
HOW TO HANDLE Thanksgiving After The 2016 Election,politics,"Nov 19, 2016",The video below might be a great one to show the Hillary supporters bitter much?The Holderness family makes the funniest videos and this one is no exception!,Fake,"fake headline: HOW TO HANDLE Thanksgiving After The 2016 Election
text:"," Jesse Jackson died on Nov. 5, 2016, walking into the funeral home in Crazy Horse’s Successful Celebration. A chorus of “I can’t remember why I left home” exudes excitement:

“Well, he was out loud today.”

“They used to sing from the grave, sometimes in a"
THE BEST WAY To Clear Soros’ Anti-Trump Rioters Out Of DC Can Be Found On One Piece Of Paper,politics,"Jan 20, 2017","#disruptj20 protesters on the move, many leaving the checkpoint. And they've chained themselves together pic.twitter.com/jYvaY75hND  Ryan Lovelace (@LovelaceRyanD) January 20, 2017",Fake,"fake headline: THE BEST WAY To Clear Soros’ Anti-Trump Rioters Out Of DC Can Be Found On One Piece Of Paper
text:","

A facebook page had been taken down and had to be removed. This had to mean shooting itself down, as well as the FBI and the—-nobody who had already said the District could afford to recruit and train government employees.

This has brimmed with hate; SP Nation would never have even set up an investigation like this, but it means that the"
BAD ASS BUSINESSMAN Challenges Paul Ryan In New Campaign Ad Like You’ve Never Seen Before,politics,"May 5, 2016",Businessman Paul Nehlen is challenging Paul Ryan for his seat in congress. What do you think of this commercial?,Fake,"fake headline: BAD ASS BUSINESSMAN Challenges Paul Ryan In New Campaign Ad Like You’ve Never Seen Before
text:","

He posted in an ad featuring a car trailer filled with feces and a CNN reporter was covering his wife’s recent trip to Mexico City.

Paul Ryan poses with the woman he once believed was the anchor of Hollywood’s evil movie franchise. Ryan has Down Syndrome and is refusing to talk to other people.

That’s right,"
OBAMACARE AND THE FORGOTTEN FAMILY: A Tale Of How The Middle Class Was Royally Scr*wed By Washington,Government News,"Mar 25, 2017","In light of Republican failure to pass the American Health Care Act, Charles Krauthammer dismissed the idea that Chuck Schumer would try to work with Republicans at all, since the Democrats are moving toward a single-payer system as the country increasingly expects coverage to be an entitlement:Read more: CNN",Fake,"fake headline: OBAMACARE AND THE FORGOTTEN FAMILY: A Tale Of How The Middle Class Was Royally Scr*wed By Washington
text:"," MY VERSUS - A PRIMEFUL STORY THIS YEAR
notes: The title of the story, “Things That Make Us01” is a 1981 biography of Japan’s Prince Sojido, who was also a member of the Mainichi club in Naganoemon. The story, “How the World At One infiltrated Pearl Harbor”, was"
TRUMP’S STATEMENT On Muslim Immigration Is Spot On: “We have no choice!”,left-news,"Jun 13, 2016",Donald Trump: With fifty people dead and perhaps more ultimately and dozens more wounded we cannot afford to talk around issues anymore. We have to address these issues head on.,Fake,"fake headline: TRUMP’S STATEMENT On Muslim Immigration Is Spot On: “We have no choice!”
text:"," “We have no choice!”

Oops!... what about the Trump administration? Oh wait, it is here. At the Breitbart website, mainstream media outlets are urging the mainstream American voters – as well as the GOP’s Republican base – to stand out. That gets all of them to support Trump, the only possibility of running the country on"
"E.T. Williams: ‘Anti Trump Protesters, Your Revolution is Fake’",Middle-east,"November 18, 2016","21st Century Wire says As  anti-Trump  protests continue at college campuses across America, many are still trying to make sense of what exactly the students are protesting for, beyond venting their frustration about the results of another democratic election in America. Doctor of Common Sense E.T. Williams disagrees,  The anti-Trump protesters are no damn revolutionaries, they are lawless idiots.",Fake,"fake headline: E.T. Williams: ‘Anti Trump Protesters, Your Revolution is Fake’
text:"," The latest news is that Teen HIV are eagerly awaiting confirmation from The Jerusalem Post.

The Hollywood Reporter has been covering the show and its aftermath for The Guardian and The New York Times since 04/06/2016.

The Times article, about which is badly revealing, was a fun read.

The reporter wrote about the rapper’s entire life,"
"GOODBYE, LONDON! Here’s The Lowdown On The Muslim Mayor Who Calls Moderate Muslims “Uncle Toms”",politics,"May 7, 2016","Paul Weston, chairman of Liberty GB, reacts to the election of Sadiq Khan as Mayor of London. This is a man connected with numerous extremists, and who has an extremely questionable past.",Fake,"fake headline: GOODBYE, LONDON! Here’s The Lowdown On The Muslim Mayor Who Calls Moderate Muslims “Uncle Toms”
text:"," https://footballlabs.fantasy.sports- journalism.com/soccer/index.html?mode=format&submission_mode=profile
Faction Pelosi paid close attention to Russian donations: https://twitter.com/ GOPobama/status/8967892155549899400/comments
Frule Digital Fund: https://www."
In His Own Words: STUNNING Unofficial TRUMP AD That Will BLOW You Away!,politics,"Aug 28, 2016",Wow! America is hungry for a real leader.,Fake,"fake headline: In His Own Words: STUNNING Unofficial TRUMP AD That Will BLOW You Away!
text:"," I have just met a guy who's come in and he's open-minded to

US REPORTER: WHAT ARE YOU DOING?
text: He's not a conservative; he's fundraising. And you have to

US REPORTER: BEING CRACKEROUS?
text: DOUBLE CRACKER!
text: I"
HYSTERICAL! MSNBC Host Gets Rapists confused…Calls Bill Cosby “Bill Clinton”,left-news,"May 24, 2016",It seems like a pretty easy mistake. After all he could easily have called Hillary  Obama,Fake,"fake headline: HYSTERICAL! MSNBC Host Gets Rapists confused…Calls Bill Cosby “Bill Clinton”
text:","
Metaphor: “Bill Clinton” – Yes
text:
Metaphor: “Bill Clinton”
text:
Metaphor: “Clinton”
text:
Metaphor: “Clinton”
text:
Metaphor: “Clinton”
text:
Metaphor: �"
Palestinian negotiator says 'no talking' with U.S. until Trump reverses Jerusalem decision: Al Jazeera,worldnews,"December 8, 2017 ","Palestinian chief negotiator Saeb Erekat told Al Jazeera TV on Friday that the Palestinians will not talk to the United States until President Donald Trump has reversed his decision to recognize Jerusalem as Israel s capital, the channel reported. Erekat also said the Palestinian leadership was considering all options in response to Trump s announcement, the channel reported in a newsflash, without giving further details.",True,"true headline: Palestinian negotiator says 'no talking' with U.S. until Trump reverses Jerusalem decision: Al Jazeera
text:","

Palestinian State Prosecutor, Yasna Al-Yaqi, on Monday confirmed the Israeli exit and dismissed her charges that the Palestinians “were using any means at all to resist the Palestinians movement.”

She also dismissed other Palestinian charges that it is possible the Palestinians “resisted"" the imminent ingratiating condition of the Israeli-Palestinian peace"
UK defense minister: PM May decides on cabinet hiring and firing,worldnews,"November 8, 2017 ","British defense minister Gavin Williamson said on Wednesday it was up to Prime Minister Theresa May to decide who serves in her top team, responding to a question about the political future of aid minister Priti Patel.  The prime minister makes her own decision on actually who is serving in her cabinet, and they re only the prime minister s decisions,  he told reporters in Brussels.",True,"true headline: UK defense minister: PM May decides on cabinet hiring and firing
text:"," Isn’t its aim to make paid battalion, commando, learning contract, jobs for doctors, judicial appearances for quick promotion and promotion and so on?

Tuesday, May 14, 2013

There are
4 references, 25 from Europe, two from UK, and two from the US.

The Parliament of Iceland is preparing a draft of the Memor"
NSA director Rogers is top candidate for DNI under Trump: WSJ,politicsNews,"November 18, 2016 ","U.S. National Security Agency Director Admiral Mike Rogers is the leading candidate to become President-elect Donald Trump’s next director of national intelligence, the Wall Street Journal reported on Friday, citing two unnamed people familiar with the matter. Rogers met with Trump in New York on Thursday, members of Trump’s transition team said on Friday.",True,"true headline: NSA director Rogers is top candidate for DNI under Trump: WSJ
text:"," “Our country does not have a separation of powers,” “We have a family-oriented culture,” and “We believe in a free, open society.”

The irony of the n-word is that the president would have put an ‘Appoint,’ which is a phrase used by the state to think of"
"Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide",politicsNews,"November 21, 2017 ","Russian President Vladimir Putin and U.S. President Donald Trump will discuss North Korea when they hold a telephone conversation on Tuesday, Interfax news agency cited Kremlin aide Yuri Ushakov as saying. Kremlin spokesman Dmitry Peskov said earlier on Tuesday that the conversation would focus on Syrian President Bashar al-Assad’s visit to Russia which he made on Monday.",True,"true headline: Putin, Trump to discuss North Korea on Tuesday: IFX cites Kremlin aide
text:","
“With North Korea now a significant threat to China’s Hachette Channel and Japan’s Channel all over the world against a Beijing-driven powerbase in South Korea, the United States has long been less than content to consider China as an important geopolitical buffer, but not much anyway.”

“If the Moscow-backed"
Russian and Chinese heads of state to meet in first half of November,worldnews,"October 26, 2017 ","Russian President Vladimir Putin on Thursday held a telephone conversation with his Chinese counterpart Xi Jinping, and the two leaders agreed to meet in the first half of November, the Kremlin said. The meeting will take place on the sidelines of an Asia-Pacific summit to be hosted by Vietnam, it said.",True,"true headline: Russian and Chinese heads of state to meet in first half of November
text:"," Ralph Kind et al. has been reported be returning from Putin's summit in Helsinki
 Madame without the "" 1939 Taymur"" code as her bête noire, doubtless in a future Jeyakon
real-world visit
Mother India at the time

While many in the West have accused the United States of violating an order to protect the British, India"
Florida lieutenant governor ends bid for Senate seat,politicsNews,"June 22, 2016 ","Florida’s Republican lieutenant governor, Carlos Lopez-Cantera, on Wednesday dropped his bid for a U.S. Senate seat shortly after Senator Marco Rubio said he would be entering the race. “ I want to congratulate and thank Marco for his decision to pursue re-election to the U.S. Senate,” Lopez-Cantera, a friend of Rubio’s, said in a statement.",True,"true headline: Florida lieutenant governor ends bid for Senate seat
text:"," >> All hail the Governor and his sons from Lake Hollow and Hollywood andette. >> Jerraud Landrif and Bryan James, though they got no votes to go to the polls. >> WINE SERIES: BY name (indicated):

..

Florida lieutenant governor, return to office does not require a Superior Court filing, it is a"
Cruz campaign vetting Fiorina as a possible VP pick: ABC News,politicsNews,"April 25, 2016 ","U.S. Republican presidential candidate Ted Cruz’s campaign is vetting former business executive Carly Fiorina as a possible vice presidential pick, ABC News said on Friday. Earlier, Cruz’s campaign said it had narrowed its running mate options to a short list.",True,"true headline: Cruz campaign vetting Fiorina as a possible VP pick: ABC News
text:"," All the stuff can be done.

That’s OK. You beat the book.

The other thing is, you’re not going to keep Cruz out of rabbit hole kind of again, just grin, “busy enough with this guy in a week.”

Since this is a general election year, I think it�"
Trump to announce transportation secretary pick: spokesman,politicsNews,"November 29, 2016 ","President-elect Donald Trump will nominate a transportation secretary on Tuesday afternoon, a spokesman told Fox News, as he continues to fill out his domestic policy team. Trump transition team spokesman Jason Miller said the Cabinet selection would be announced in the early afternoon.",True,"true headline: Trump to announce transportation secretary pick: spokesman
text:"," “Chicago Mayor Mike Pence weighed in.”

All the well-planned support signs that went out for the unveiling Friday were on the walkway.museum parking lot, I don’t know that was exactly what it came down to. The thing about this is that the mayor is not a 2002 presidential candidate. He retired when he was mayor and"
U.S. says it will take steps after Cambodia's dissolves opposition party,worldnews,"November 17, 2017 ","The United States expressed  grave concern  on Thursday about the Cambodian government s decision to dissolve the main opposition party and said Washington will take  concrete steps  in response, according to a White House statement. As a first step, the White House said, the United States will end its support for the Cambodian National Election Committee and its administration of the 2018 national election.",True,"true headline: U.S. says it will take steps after Cambodia's dissolves opposition party
text:"," A CDC study finds widespread poverty and cancer is more common in the South, but the findings on how much the burden of HIV-AIDS got to the United States have not been confirmed
text: ""The rate of death by HIV-1, and the risk of death after HIV-1 infection in the US
text: Black men die at young ages, and women start"
Senate Republican leader says on path toward deal on government funding,politicsNews,"October 31, 2017 ","Senate Republican leader Mitch McConnell said on Tuesday lawmakers and the Trump administration were “on a path” toward reaching a deal on a bill that would keep the government funded beyond Dec. 8. “ That job will have to be done by December the eighth, and I think we’re on a path to do that,” McConnell told reporters, without providing any details.",True,"true headline: Senate Republican leader says on path toward deal on government funding
text:"," ""WASHINGTON — Sen. Lamar Alexander on Tuesday signaled that progress on the 2020 election can be made anytime one day at a time.

""I think we have made a commitment to Congress and our senators that the path to victory the next two decades is by 2020.""

Judith Duncan, a Florida Republican, was not making the same remarks about the GOP lineup as"
Trump to study tougher Russia sanctions bill: White House,politicsNews,"July 24, 2017 ","President Donald Trump will examine whether a bill toughening sanctions on Russia is offering the “best deal” for the American people, White House spokeswoman Sarah Sanders said on Monday. “ He’s going to study that legislation and see what the final product looks like,” Sanders told reporters during a briefing on Air Force One, when asked whether Trump would support the legislation.",True,"true headline: Trump to study tougher Russia sanctions bill: White House
text:"," disappointing work of sanctions program (so far) won't apply -- but midterms are in motion!
text: niaaa, you and others who work with Trump will have to hit your employers
text: so y es there a better way to do it than to go to your rivals' houses
text: sir, but be sure not to leave your stuff in"
U.S. 'very concerned' by violence around Iraq's Kirkuk: State Department,worldnews,"October 16, 2017 ","The U.S. State Department said on Monday Washington was  very concerned  by reports of violence around the Iraqi oil city of Kirkuk, which was seized by Baghdad s forces from Kurds.  We are monitoring the situation closely and call on all parties to coordinate military activities and restore calm,   State Department spokeswoman Heather Nauert said in a statement.",True,"true headline: U.S. 'very concerned' by violence around Iraq's Kirkuk: State Department
text:"," Tillerson adviser John Bolton says Iraq should be ""gasamped"" if the United States raids Iran's missile defense system: U.S.
Reliance Bolton says 'very concerned' by violence around Iraq's Kirkuk: State Department
text: Bolton says Washington has only been investigating Iran's missile defense system: State Department
RELITUDE in Afghanistan: Secretary of State"
Trump discusses safe zones in Syria with Jordan's king: White House,politicsNews,"February 2, 2017 ","U.S. President Donald Trump discussed with Jordan’s King Abdullah the possibility of establishing safe zones in Syria, the White House said on Thursday. Trump met with King Abdullah briefly in Washington on Thursday morning, the White House said in a statement.",True,"true headline: Trump discusses safe zones in Syria with Jordan's king: White House
text:","

If Syria, Afghanistan, Iraq and Libya become firebombed and the U.S. attacks, we might keep telling Arabs and Iraqis what to do - to get the American military and to bomb back against the border, toward a concentration camp.

IAEA.long.

The IAEA was created in 1997 and is one of the best"
Trump says 'not distracted' by NFL protests,politicsNews,"September 26, 2017 ","U.S. President Donald Trump’s criticisms of National Football League players kneeling in protest during the national anthem have not distracted him from other concerns, he told journalists on Tuesday. “ I wasn’t preoccupied with the NFL.",True,"true headline: Trump says 'not distracted' by NFL protests
text:"," On Twitter, there are many NFL players that see the NFL-- but could not wait to see the players' camps. Team Seahawks went into the concussion protocol, and should have bought a helmet but didn't during the game. But I do think the NFL should have bought a helmet for the Browns.

That info should be out in the open after all, because when"
Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis,worldnews,"October 22, 2017 ","Saudi Arabia is not yet ready to begin direct talks with Doha to resolve the nearly five-month diplomatic and trade cutoff affecting Qatar, U.S. Secretary of State Rex Tillerson said on Sunday.  There is not a strong indication that the parties are ready to talk yet,  Tillerson said of discussions he had earlier in the day in Riyadh with Saudi Crown Prince Mohammed bin Salman aimed at overcoming the row.",True,"true headline: Tillerson says Saudi Arabia not ready for talks with Qatar on Gulf crisis
text:","
http://www.washingtonpost.com/politics/us-news/office-of-dodging-the-refugee-breaking-press-under-2019-possible-acknowledges-from-the-way-fear/2013/02/21/8293463_17624170_i_ helpless-"
U.S. tax bill should include repeal of health insurance mandate: Senate Republican leader,politicsNews,"November 14, 2017 ","Senate Republican leader Mitch McConnell on Tuesday threw his support behind including a repeal of the Obamacare mandate for individual health insurance in the Senate’s tax reform bill. “ We’re optimistic that inserting the individual mandate repeal would be helpful and that’s obviously the view of the Senate Finance Committee Republicans as well,” McConnell told reporters.",True,"true headline: U.S. tax bill should include repeal of health insurance mandate: Senate Republican leader
text:"," Herpanics asking her to join the GOP in the House
text: Petition to drop the proposal
text: Ayurvedic says it’s only for short-term
text: The bill remains heavily funded in the Senate
text: Democrats will talk about moving forward with their
papering strategy
text: On the critical Mother Jones article
text"
Tillerson to visit Pakistan as well as India: senior U.S. official,politicsNews,"October 18, 2017 ","U.S. Secretary of State Rex Tillerson will Pakistan next week during an Asian trip that will also take him to the country’s rival India, a senior official at the U.S. State Department said on Wednesday.",True,"true headline: Tillerson to visit Pakistan as well as India: senior U.S. official
text:"," Tillerson to visit Pakistan

Emotional anxiety; Secretary Tillerson: U.S. officials will come to Pakistan should India be there

52 Comments (118 And 12 Pages)

This fits well with the headline picture: Tillerson to visit Pakistan

This makes sense, although I think that it really is the wrong headline. The headline link isn’t necessarily"
"Obama, Mexican president discuss immigration, anti-drugs fight: White House",politicsNews,"May 6, 2016 ","U.S. President Barack Obama and Mexican President Enrique Peña Nieto discussed immigration from Central America and the fight against heroin production during a phone call on Thursday, the White House said. “ The leaders committed to continue working jointly to address irregular migration from Central America,” the White House said in a statement. “",True,"true headline: Obama, Mexican president discuss immigration, anti-drugs fight: White House
text:","

Microsoft updated its operating system and Watchdog support to improve mobile performance. Available on Windows 8, Linux and Linux-based systems. Gives you:

Microsoft is now offering a partnership with Microsoft Watchdog, a Windows operating system that enables Windows users to seamlessly access their wearable software.

Buy it Now. Get in the Customer’s Footprint"
